,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,
A       ,0,0,0,0,0,67.5116,69.0664,70.1827,71.0417,71.1473,72.0308,72.6498,72.6498,72.6498,72.6498,72.6498,
AA      ,0,0,0,0,28.95,27.0299,27.7522,27.943,27.9636,27.9565,27.9396,28.0335,28.0335,28.0336,28.0336,28.0336,
AAAU    ,0,0,0,0,0,0,0,0,0,13.1,13.1,13.1,13.1,13.1,13.1,13.1,
AABA    ,0,0,0,0,65.8783,65.11,65.1243,65.5425,65.5654,65.4695,65.538,65.6351,66.0726,66.0726,66.0726,66.0726,
AAC     ,0,0,0,0,0,2.25484,2.24957,2.27724,2.2781,2.27926,2.28503,2.28717,2.28717,2.28717,2.28717,2.28717,
AADR    ,0,0,0,0,0,0,0,0,0,0,43.56,43.56,43.56,43.56,43.56,43.56,
AAL     ,0,0,0,0,0,34.5455,34.2739,34.4903,34.4552,34.5179,34.2407,34.3011,34.5194,34.5194,34.5194,34.5194,
AAMC    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AAME    ,0,0,0,0,0,2.56618,2.56618,2.55675,2.55522,2.55385,2.55385,2.54427,2.54429,2.54429,2.54429,2.54429,
AAN     ,0,0,0,0,0,49.0789,46.7213,46.7237,47.1202,47.5232,47.8462,47.9724,47.9724,47.9724,47.9724,47.9724,
AAOI    ,0,0,0,0,0,15.7041,15.9223,16.0647,16.0689,16.1851,16.2314,16.2578,16.367,16.367,16.367,16.367,
AAON    ,0,0,0,0,0,35.8937,34.9727,35.0995,34.6751,34.7777,34.8724,34.8128,35.4277,35.4277,35.4277,35.4277,
AAP     ,0,0,0,0,0,155.508,156.189,156.925,157.527,157.334,156.779,155.97,155.97,155.97,155.97,155.97,
AAPL    ,162.731,163.022,163.068,163.036,162.353,160.449,159.522,158.675,156.826,156.761,157.76,157.691,158.93,158.935,158.94,158.944,
AAT     ,0,0,0,0,0,42.0627,42.1623,42.237,42.2838,42.309,42.3663,42.029,42.029,42.029,42.029,42.029,
AAU     ,0,0,0,0,0,0.750667,0.74915,0.74915,0.74915,0.74915,0.747038,0.746764,0.746764,0.746764,0.746764,0.746764,
AAWW    ,0,0,0,0,0,51.0006,48.5327,48.9107,49.0849,49.0921,49.3708,49.32,50.6441,50.6441,50.6441,50.6441,
AAXJ    ,0,0,0,0,0,61.4724,59.9548,60.4805,60.8211,60.2912,60.8189,60.6359,61.0228,61.0228,61.0228,61.0228,
AAXN    ,0,0,0,0,0,48.7265,48.4993,48.4333,48.2399,48.3363,48.3841,47.3371,47.8557,47.8557,47.8557,47.8557,
AB      ,0,0,0,0,0,30.0341,29.259,29.6067,29.4979,29.6021,29.467,29.3837,29.3837,29.3837,29.3837,29.3837,
ABB     ,0,0,19.07,19.1185,14.702,14.2948,15.4979,15.2899,15.4856,15.5472,15.9823,16.3706,16.3706,16.3706,16.3706,16.3706,
ABBV    ,0,0,77.938,77.938,77.7195,76.3004,75.7357,75.6662,75.4726,75.45,75.9123,75.902,75.902,75.902,75.9024,75.9024,
ABC     ,0,0,0,0,0,73.2803,73.922,75.5342,75.5568,75.979,76.7841,76.4076,76.4076,76.4076,76.4076,76.4076,
